Functions sorted by metric: Inclusive Bytes Leaked

Incl.     Incl.  Incl.      Incl.         Name
Bytes     Leaks  Bytes      Allocations
Leaked           Allocated
    1472     2        2208       3        lambda_param_rule
    1472     2        2208       3        lambda_params_rule
    1472     2        2208       3        lambdef_rule.warm
    1464     3       27932     461        PyTuple_New
    1434     2        7984       6        r_object.llvm.200955471551188220.warm
    1391     3        4154       7        build_string
    1391     3        4154       7        do_string_format
    1391     3       21994      14        method_vectorcall_VARARGS_KEYWORDS.llvm.2646309998738843403
    1376     1        9600       2        _loop0_29_rule
    1312    19       52932     858        CRYPTO_zalloc
    1312    41     3785056  118283        _Py_hashtable_set.cold
    1245     1       43844      99        _PyUnicode_JoinArray
    1245     1       22189      14        _TAIL_CALL_BUILD_STRING.llvm.641356221097560969
    1104     1        2776       3        PyDict_SetDefaultRef.warm
    1104     1       53888      46        _PyDict_SetItem_Take2
    1104     1       53888      46        _TAIL_CALL_MAP_ADD.llvm.641356221097560969
    1094     1       22991      38        _sre_SRE_Pattern_match
    1094     1       22974      21        sre_ucs1_match
    1068     4        1068       4        <static>@0x15c87 (<ld-linux-x86-64.so.2>)
    1032     6       11416     236        OPENSSL_sk_push
    1032     1       26450      29        itertoolsmodule_exec
    1032     7       46081     849        namemap_add_name
    1032     7       59330    1421        ossl_namemap_stored
    1032     6       11632     237        sk_reserve
    1032     1        5096       5        sre_exec
    1000     6       41045     752        get_legacy_evp_names
     992     1         992       1        bridge_pattern_type
     984    13        8292     103        _PyWideStringList_CopyEx.llvm.10581916065834249640
     968     5       35826     653        OBJ_NAME_do_all
     968     5       35826     653        OPENSSL_LH_doall_arg_thunk.warm
     968     1         968       1        _PyUnicodeWriter_WriteASCIIString
     960     1        2760       4        label_exception_targets
     950     1       83990      24        PyModule_FromDefAndSpec2
     950     1       83954      66        _imp_create_builtin
     950     1       84732      68        create_builtin
     950     1       83990      24        import_run_extension
     928    12         928      12        _PyConfig_Write
     924    17       26800     808        def_load
     864     1         864       1        _loop1_73_rule
     864     1         864       1        import_from_targets_rule
     855     1       10254      10        lzma_exec
     796    16       26200     806        def_load_bio
     784    19        7852      84        _PyConfig_FromDict
     784    19        5528      69        config_dict_get_wstrlist
     768     1       27152      22        PyModule_AddObjectRef
     768     1       29068      25        PyObject_GenericSetAttr
     768     1       77728      19        PyObject_SetAttrString
     768     1        8955       6        _PyModule_CreateInitialized
     768     1       77728      19        _add_methods_to_object
     768     1       24912      23        codegen_nameop
     768     1        1800       2        unicodedata_exec
     736     1        9984       3        dotted_as_name_rule
     736     1        2368       3        dotted_name_rule
     672    10        4128      58        <rebar_rust_continuation::Expr as core::clone::Clone>::clone
     616    24     1291774   51115        _TAIL_CALL_CALL_BUILTIN_CLASS.llvm.641356221097560969
     608     1        6216       8        PyList_AsTuple
     608     1        7776      10        _PyCode_ConstantKey
     608     1       19992     801        _PyList_Extend
     608     1        2912       4        _abc__abc_init
     608     1        1344       2        _loop0_71_rule
     608     1        1344       2        lambda_slash_with_default_rule
     608     1       57632    2377        method_output_as_list.llvm.5400310097824892891
     581    14      107324    3572        CRYPTO_malloc
     570     1        2480      42        PyUnicode_DecodeUTF8
     544    23      897256   36021        list_vectorcall
     528     1        3584      73        _PyUnicodeWriter_WriteSubstring
     520    12        7436     290        str_copy
     480     5       78232     982        traceback_new
     448     1        1148       6        PyObject_Str
     448     1         996       2        slot_tp_str
     432     7        2160      14        _Py_wstat
     412     6        2060      12        _Py_wfopen.warm
     412     6        5516      24        getpath_readlines
     384     1         912       2        list_ass_slice_lock_held.llvm.14879726281964509088
     364    10      197352    8202        _TAIL_CALL_BUILD_LIST.llvm.641356221097560969
     360     8       54432    1555        ERR_set_mark
     360     8       54432    1555        ossl_err_get_state_int.warm
     344     3        2559      49        CONF_modules_load.cold
     335     3        1675       6        PyUnicode_FSConverter
     335     3        1675       6        _io_FileIO___init__
     328     6        3480     146        BUF_MEM_grow
     328     6        3481     147        CRYPTO_realloc
     312     2        1287      32        CONF_module_add
     312     2        1080      27        OPENSSL_load_builtin_modules
     312     2        2087      39        do_load_builtin_modules_ossl_
     312     2        1287      32        module_add
     312     3      360908   12345        rust_bound_substitute
     312     3     1032736   14909        rust_pattern_dispatch
     312     3      360908   12345        rust_substitute_core
     304     7       53352    1548        ossl_err_load_crypto_strings
     304     7       53352    1548        ossl_init_load_crypto_strings_ossl_
     276     5        1380      10        getpath_isfile
     264     1         280       2        do_init_module_list_lock_ossl_
     264     1         560       4        ossl_rcu_lock_new
     248     3        6968     166        _CONF_add_string
     219     3       31838     451        ossl_method_construct_this
     216     1         216       1        __libc_allocate_once_slow
     216     1         216       1        __nss_database_get
     208     3        3024      87        ossl_err_load_ERR_strings
     208     2       30368     292        ossl_ht_insert
     192     7      189396    5723        _TAIL_CALL_BUILD_MAP.llvm.641356221097560969
     192    11      460448   18133        _list_extend
     184     2         288       3        do_err_strings_init_ossl_
     160    20      121056     444        <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     160    20         160      20        <rebar_rust_continuation::Parser>::name
     156     2         780       4        getpath_isdir
     144     6       46680    1945        OPENSSL_LH_insert
     141     2         705       4        _TAIL_CALL_FOR_ITER.llvm.641356221097560969
     128     1         128       1        BIO_new_ex
     128     1         600       2        BIO_new_file
     128     1        7888      68        OPENSSL_LH_new
     128     1         624       6        _Py_hashtable_new_full
