Functions sorted by metric: Inclusive Bytes Leaked

Incl.     Incl.  Incl.      Incl.         Name
Bytes     Leaks  Bytes      Allocations
Leaked           Allocated
    1245     1       50816     391        _PyUnicode_JoinArray
    1245     1       22189      14        _TAIL_CALL_BUILD_STRING.llvm.641356221097560969
    1120     2        2384       4        list_ass_slice_lock_held.llvm.14879726281964509088
    1104     1        2776       3        PyDict_SetDefaultRef.warm
    1072     6       11416     236        OPENSSL_sk_push
    1072     6       11632     237        sk_reserve
    1040     2        1800       7        list_concat
    1040     2       74988    3050        list_new_prealloc
    1032     1       26450      29        itertoolsmodule_exec
    1032     7       46081     849        namemap_add_name
    1032     7       59330    1421        ossl_namemap_stored
    1032     1        5096       5        sre_exec
    1024     1      114064    4711        PyTraceBack_Here
    1024     1      251576   10418        _TAIL_CALL_error.llvm.641356221097560969
    1012    14        8436     103        _PyWideStringList_CopyEx.llvm.10581916065834249640
    1000     6       41045     752        get_legacy_evp_names
     968     5       35826     653        OBJ_NAME_do_all
     968     5       35826     653        OPENSSL_LH_doall_arg_thunk.warm
     968     1         968       1        _PyUnicodeWriter_WriteASCIIString
     950     1       83990      24        PyModule_FromDefAndSpec2
     950     1       83930      65        _imp_create_builtin
     950     1       84708      67        create_builtin
     950     1       83990      24        import_run_extension
     944    12         944      12        _PyConfig_Write
     924    17       26800     808        def_load
     864     1      651288    5009        _TAIL_CALL_CALL_METHOD_DESCRIPTOR_O.llvm.641356221097560969
     864     1         864       1        _loop1_73_rule
     864     1         864       1        import_from_targets_rule
     855     1       10254      10        lzma_exec
     796    16       26200     806        def_load_bio
     772    19        7916      84        _PyConfig_FromDict
     772    19        5592      69        config_dict_get_wstrlist
     768     1       18592      19        codegen_nameop
     736     1        9520      70        _TAIL_CALL_STORE_SUBSCR.llvm.641356221097560969
     736     1        9984       3        dotted_as_name_rule
     736     1        2368       3        dotted_name_rule
     736     1        2660      40        list_ass_subscript
     640     1      215000    2888        state_init
     608     1        5360       7        PyList_AsTuple
     608     1       21332     457        PyTuple_New
     608     1        6096       8        _PyCode_ConstantKey
     608     1       21816     877        _PyList_Extend
     608     1        2912       4        _abc__abc_init
     608     1        1344       2        _loop0_71_rule
     608     1        1344       2        lambda_slash_with_default_rule
     608     1        4240     128        list_extend_dict.llvm.14879726281964509088
     608     1       57632    2377        method_output_as_list.llvm.5400310097824892891
     570     1        1520       2        PyUnicode_DecodeUTF8
     557    13      107324    3572        CRYPTO_malloc
     528     1        1904       3        _PyUnicodeWriter_WriteSubstring
     520    12        7436     290        str_copy
     448     1        1148       6        PyObject_Str
     448     1         996       2        slot_tp_str
     448     1      156848    6122        vectorcall_method
     432     7        2160      14        _Py_wstat
     412     6        2060      12        _Py_wfopen.warm
     412     6        5516      24        getpath_readlines
     344     3        2559      49        CONF_modules_load.cold
     336     7       54432    1555        ERR_set_mark
     336     7       54432    1555        ossl_err_get_state_int.warm
     335     3     8130123     130        PyFile_OpenCodeObject
     335     3        1675       6        PyUnicode_FSConverter
     335     3        1675       6        _io_FileIO___init__
     335     3     8523591     139        _io_open
     335     3     8130123     130        _io_open_code
     328     6        3480     146        BUF_MEM_grow
     328     6        3481     147        CRYPTO_realloc
     312     2        1287      32        CONF_module_add
     312     2        1080      27        OPENSSL_load_builtin_modules
     312     2        2087      39        do_load_builtin_modules_ossl_
     312     2        1287      32        module_add
     288     9     4217856  131808        _Py_hashtable_set.cold
     280     6       53352    1548        ossl_err_load_crypto_strings
     280     6       53352    1548        ossl_init_load_crypto_strings_ossl_
     276     5        1380      10        getpath_isfile
     264     1         280       2        do_init_module_list_lock_ossl_
     264     1         560       4        ossl_rcu_lock_new
     248     3        6968     166        _CONF_add_string
     219     3       31838     451        ossl_method_construct_this
     216     1         216       1        __libc_allocate_once_slow
     216     1         216       1        __nss_database_get
     208     3        3024      87        ossl_err_load_ERR_strings
     208     2       30368     292        ossl_ht_insert
     184     2         288       3        do_err_strings_init_ossl_
     156     2         780       4        getpath_isdir
     141     2      137205    5634        _TAIL_CALL_FOR_ITER.llvm.641356221097560969
     128     1         128       1        BIO_new_ex
     128     1         600       2        BIO_new_file
     128     1        7888      68        OPENSSL_LH_new
     128     1       17528     223        ossl_method_store_add
     128     1        7808      61        ossl_sa_set
     128     1       17759     231        put_evp_method_in_store
     120     2         336       8        <static>@0x4790c (<libc.so.6>)
     120     2         152       3        CONF_modules_unload.cold
     120     5       46680    1945        OPENSSL_LH_insert
     120     2         336       8        OPENSSL_cleanup
     120     2         336       8        exit
     120     2         288       6        ossl_config_modules_free
     116     1       17080     351        _Py_DecodeUTF8Ex
     116     1       19060     364        unicode_decode_locale.llvm.15414398618286582215
     112     1         131       2        BIO_meth_new
     112     2        1568      28        CRYPTO_THREAD_lock_new
     112     1         131       2        ossl_bio_prov_init_bio_method
     112     1         163       3        ossl_default_provider_init
     112     1         163       3        provider_activate
     112     1         635      10        provider_activate_fallbacks
      96     3        6048     189        OPENSSL_sk_new_null
      96     3       12288     141        trace_to_pyobject
      96     3       12288     141        traceback_to_pyobject
      91     2       14080     221        algorithm_do_this
      91     2       14079     220        construct_evp_method
      88     2         208       7        ossl_init_thread_start
      87     2        7023     453        CRYPTO_strdup
      80     3      288512   11137        _PyObject_GC_New
      80     3      223452    9083        _TAIL_CALL_BUILD_LIST.llvm.641356221097560969
      72     3       50328    1461        ERR_load_strings_const
      72     1        1288      14        EVP_hexdigest
      66     1         330       2        _Py_wreadlink
      66     1         594       3        getpath_realpath
      59     1        5370     112        ossl_namemap_add_names
      56     1         104       3        create_global_tevent_register_ossl_
      53     1        3332     102        EVP_MD_fetch
      53     1        8920     140        _hashlib_HASH
      53     1         549      10        _hashlib_openssl_sha384
      53     1        3332     102        evp_generic_fetch
      53     1         996      26        ossl_method_store_cache_set
      53     1        3332     102        py_digest_by_name
      48     2      507744   21110        _TAIL_CALL_MAKE_FUNCTION.llvm.641356221097560969
      32     1        4888     150        OPENSSL_sk_dup
      32     1      178476    5932        _TAIL_CALL_BUILD_MAP.llvm.641356221097560969
      32     1      131188    4566        _TAIL_CALL_CALL_METHOD_DESCRIPTOR_NOARGS.llvm.641356221097560969
      32     1      102012    4218        dict_items
      32     1        8709     108        evp_md_from_algorithm
      32     1         581      12        get_legacy_evp_names.warm
      32     1        1744      54        ossl_namemap_doall_names
      32     1         272       2        ossl_rcu_read_lock
      32     1       84488    1660        setitem_lock_held.llvm.12219610630884000974
      25     1        4105      82        context_init
      25     1        4105      82        default_context_do_init_ossl_
      25     1        4105      82        ossl_lib_ctx_get_data
      25     1         476      19        ossl_property_parse_init
      25     1         523      21        ossl_property_string
      24     1        6904     118        ossl_err_load_ASN1_strings
      24     1        5000     124        ossl_err_load_EVP_strings
      24     1         600      25        ossl_err_load_OCSP_strings
       0     0        1024       1        <static>@0x6b7bb (<libc.so.6>)
       0     0        4096       1        <static>@0x93d1b (<libc.so.6>)
       0     0         152       1        <static>@0x99e4b (<libc.so.6>)
       0     0        4096       1        BIO_gets
       0     0      115884    4752        BaseException_vectorcall.llvm.9576151042469864777
       0     0          21       1        CONF_get1_default_config_file
       0     0         136       3        CONF_modules_unload
       0     0         648      27        CRYPTO_memdup
       0     0         269      27        CRYPTO_strndup
       0     0          72       3        ENGINE_add
       0     0         728       4        ENGINE_new
       0     0         784       7        EVP_MD_CTX_copy_ex.warm
       0     0        7008     283        EVP_add_cipher
       0     0        2352      98        EVP_add_digest
       0     0          48       1        NCONF_new_ex
       0     0       17704     657        OBJ_NAME_add
       0     0       19712      12        OPENSSL_LH_insert.warm
       0     0         112       2        OPENSSL_init_crypto
       0     0         800       7        OPENSSL_init_crypto.cold
       0     0          32       1        OPENSSL_sk_deep_copy
       0     0         512      16        OPENSSL_sk_new
       0     0         248       2        OPENSSL_sk_new_reserve
       0     0      135574     136        PyAST_Check.warm
       0     0        8208     214        PyByteArray_FromStringAndSize
       0     0         572      20        PyCMethod_New
       0     0         592      10        PyCMethod_New.cold
       0     0         944      12        PyConfig_SetBytesArgv
       0     0          24       1        PyConfig_SetString
       0     0        2288       2        PyDescr_NewMethod
       0     0        7512       8        PyDict_MergeFromSeq2
       0     0        2352      36        PyDict_New.cold
       0     0        3264       1        PyDict_Update.warm
       0     0       13888      14        PyErr_NewException
       0     0        1984       2        PyErr_NewExceptionWithDoc
       0     0        4128      41        PyErr_SetFromErrnoWithFilenameObjects
       0     0      144124    5639        PyErr_SetString
       0     0        2420      98        PyImport_ImportModuleLevelObject.warm
       0     0       54960    1433        PyList_New
       0     0         244       4        PyList_New.cold
       0     0         256       8        PyLong_FromLongLong
       0     0         464       8        PyLong_FromSsize_t.cold
       0     0        2304      96        PyLong_FromString
       0     0         980      14        PyLong_FromString.cold
       0     0         980      14        PyLong_FromUnicodeObject
       0     0        1968      82        PyLong_FromVoidPtr
       0     0       15412     636        PyMemoryView_FromObjectAndFlags.llvm.2953660286368336706
       0     0        3264       1        PyModule_AddIntConstant
